epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.387062,49.9286,1.082862,61.8000
2,0.852003,70.4367,0.702474,77.2000
3,0.660121,77.3000,0.482948,83.0000
4,0.530258,81.6816,0.502614,81.9000
5,0.438965,84.7918,0.520701,81.5000
6,0.352584,87.6939,0.310997,89.2000
7,0.287350,89.9082,0.251087,90.7000
8,0.230085,92.0469,0.228777,91.3000
9,0.187764,93.3755,0.140466,95.1000
10,0.153554,94.5959,0.149230,94.4000
11,0.132271,95.2898,0.127050,96.0000
12,0.114292,95.9531,0.109792,96.2000
13,0.102609,96.4816,0.096162,97.0000
14,0.090664,96.8980,0.123678,95.5000
15,0.084387,97.0449,0.093053,96.9000
16,0.075753,97.2816,0.076523,97.1000
17,0.069997,97.6020,0.074145,97.2000
18,0.066033,97.6918,0.061189,98.0000
19,0.063174,97.8061,0.021292,99.5000
20,0.059451,97.9245,0.055582,97.8000
